ori_label,total_num,untargeted_num,untargeted_asr,targeted_num,targeted_asr,pixeltext_white_back_prob,pixeltext_black_back_prob,pixeltext_middle_back_prob
ambulance,30939,17855,0.5771033323636834,6216,0.2009114709589838,0.9970703125,0.9951171875,0.9990234375
pick,30939,14479,0.4679853906073241,6227,0.2012670092763179,0.9990234375,0.99951171875,1.0
bannister,30939,17332,0.5601991014577071,6227,0.2012670092763179,0.99658203125,0.970703125,0.994140625
ballplayer,30939,17740,0.5733863408642813,6228,0.2012993309415301,0.99951171875,0.99853515625,0.9990234375
projectile,30939,16200,0.5236109764375061,6406,0.2070525873493002,0.99365234375,0.98681640625,0.9990234375
brassiere,30939,17085,0.5522156501502957,6607,0.2135492420569507,0.85107421875,0.853515625,0.94189453125
mouse,30939,15440,0.4990465108762403,6638,0.2145512136785287,0.99365234375,0.9990234375,0.9990234375
dishwasher,30939,22063,0.7131128995765862,6642,0.2146805003393775,0.359619140625,0.7138671875,0.71484375
church,30939,16137,0.521574711529138,6680,0.2159087236174407,0.99755859375,0.9951171875,0.99609375
cloak,30939,14821,0.4790394001098936,6695,0.2163935485956236,0.99072265625,0.99951171875,0.99853515625
necklace,30939,18726,0.6052555027635024,6697,0.216458191926048,0.87353515625,0.7568359375,0.90380859375
backpack,30939,17247,0.5574517599146708,6722,0.2172662335563528,0.98095703125,0.98779296875,0.9794921875
whistle,30939,15461,0.4997252658456964,6745,0.2180096318562332,0.99072265625,0.9990234375,1.0
swing,30939,15717,0.5079996121400174,6775,0.2189792818125989,0.9970703125,0.9990234375,1.0
espresso,30939,16094,0.5201848799250137,6876,0.2222437699990303,0.8564453125,0.86669921875,0.9296875
muzzle,30939,15326,0.4953618410420505,6922,0.2237305665987911,0.572265625,0.9833984375,0.98779296875
washer,30939,16285,0.5263583179805423,7029,0.2271889847764956,0.97998046875,0.994140625,0.994140625
wing,30939,14765,0.4772293868580109,7054,0.2279970264068004,0.97265625,0.986328125,0.9990234375
overskirt,30939,16318,0.5274249329325447,7110,0.2298070396586832,0.88037109375,0.9814453125,0.99609375
jean,30939,14543,0.4700539771809043,7139,0.2307443679498367,1.0,0.99951171875,1.0
confectionery,30939,17421,0.5630757296615921,7170,0.2317463395714147,0.99951171875,0.9990234375,0.99951171875
chime,30939,15458,0.4996283008500597,7187,0.2322958078800219,0.9736328125,0.9990234375,0.99853515625
prison,30939,15918,0.514496266847668,7264,0.2347845761013607,0.99951171875,0.9990234375,1.0
submarine,30939,17963,0.5805940722066001,7274,0.2351077927534826,0.99560546875,0.99853515625,0.99951171875
candle,30939,16235,0.5247422347199328,7370,0.238210672613853,0.998046875,0.9970703125,0.998046875
toyshop,30939,16606,0.5367335725136559,7413,0.2396005042179773,1.0,1.0,1.0
mailbag,30939,16453,0.5317883577361906,7457,0.2410226574873137,1.0,1.0,1.0
nematode,30939,17416,0.5629141213355312,7478,0.2417014124567697,0.9609375,0.99462890625,0.9951171875
bluetick,30939,15788,0.510294450370083,7642,0.2470021655515692,0.061859130859375,0.80810546875,0.98876953125
